result_id,module,analysis_population,stratum_variable,stratum_value,metric,category,numerator,denominator,unknown_count,percentage,value,unit,notes,source_table,framework
AGE0033,AGE_ELIGIBILITY,ALL_INCLUDED,STRUCTURED_UPPER_AGE_STATUS,ALL,STRUCTURED_UPPER_AGE_STATUS,FINITE_UPPER_LIMIT,456,1218,38,37.438424,,,,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0034,AGE_ELIGIBILITY,ALL_INCLUDED,STRUCTURED_UPPER_AGE_STATUS,ALL,STRUCTURED_UPPER_AGE_STATUS,NO_EXPLICIT_STRUCTURED_UPPER_LIMIT,724,1218,38,59.441708,,,,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0035,AGE_ELIGIBILITY,ALL_INCLUDED,STRUCTURED_UPPER_AGE_STATUS,ALL,STRUCTURED_UPPER_AGE_STATUS,UNKNOWN,38,1218,38,3.119869,,,,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0036,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_FIELD_CONFLICT,ALL,AGE_FIELD_CONFLICT,FALSE,1186,1218,0,97.372742,,,,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0037,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_FIELD_CONFLICT,ALL,AGE_FIELD_CONFLICT,TRUE,32,1218,0,2.627258,,,,T02_AGE_ELIGIBILITY_THRESHOLDS.csv,
AGE0038,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Minimum_Age_Years,MEDIAN,,,1218,39,,18.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0039,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Minimum_Age_Years,Q1,,,1218,39,,18.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0040,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Minimum_Age_Years,Q3,,,1218,39,,18.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0041,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Minimum_Age_Years,MINIMUM,,,1218,39,,0.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0042,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Minimum_Age_Years,MAXIMUM,,,1218,39,,75.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0043,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Maximum_Age_Years,MEDIAN,,,1218,762,,75.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0044,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Maximum_Age_Years,Q1,,,1218,762,,65.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0045,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Maximum_Age_Years,Q3,,,1218,762,,85.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0046,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Maximum_Age_Years,MINIMUM,,,1218,762,,18.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
AGE0047,AGE_ELIGIBILITY,ALL_INCLUDED,AGE_NUMERIC_FIELD,Maximum_Age_Years,MAXIMUM,,,1218,762,,130.0,years,,T03_AGE_NUMERIC_SUMMARY.csv,
GER0001,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,frailty_direct,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,1175,1218,32,96.469622,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0002,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,frailty_direct,DOMAIN_CODE,PRESENT,11,1218,32,0.90312,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0003,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,frailty_direct,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,32,1218,32,2.627258,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0004,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,mobility_adl_function,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,763,1218,164,62.643678,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0005,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,mobility_adl_function,DOMAIN_CODE,PRESENT,291,1218,164,23.891626,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0006,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,mobility_adl_function,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,164,1218,164,13.464696,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0007,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,cognition_decision_capacity,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,925,1218,136,75.944171,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0008,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,cognition_decision_capacity,DOMAIN_CODE,PRESENT,157,1218,136,12.889984,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0009,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,cognition_decision_capacity,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,136,1218,136,11.165846,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0010,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,proxy_consent_pathway,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,1049,1218,140,86.124795,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0011,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,proxy_consent_pathway,DOMAIN_CODE,PRESENT,29,1218,140,2.380952,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0012,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,proxy_consent_pathway,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,140,1218,140,11.494253,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0013,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,nutrition_malnutrition,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,897,1218,216,73.64532,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0014,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,nutrition_malnutrition,DOMAIN_CODE,PRESENT,105,1218,216,8.62069,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0015,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,nutrition_malnutrition,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,216,1218,216,17.73399,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0016,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,multimorbidity_burden,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,1147,1218,64,94.170772,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0017,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,multimorbidity_burden,DOMAIN_CODE,PRESENT,7,1218,64,0.574713,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0018,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,multimorbidity_burden,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,64,1218,64,5.254516,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0019,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,life_expectancy_advanced_illness,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,1061,1218,22,87.110016,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0020,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,life_expectancy_advanced_illness,DOMAIN_CODE,PRESENT,135,1218,22,11.083744,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0021,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,life_expectancy_advanced_illness,DOMAIN_CODE,REQUIRES_EXPERT_DECISION,22,1218,22,1.80624,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0022,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,care_setting_caregiver,DOMAIN_CODE,NOT_PUBLICLY_SPECIFIED,1009,1218,157,82.840722,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
GER0023,GERIATRIC_DOMAINS,ALL_INCLUDED,DOMAIN_ID,care_setting_caregiver,DOMAIN_CODE,PRESENT,52,1218,157,4.269294,,,,T05_GERIATRIC_DOMAIN_CODES.csv,
