Audit_ID,Object,Source,Numerator,Denominator,Unknown_Count,Percentage,Status,Rule
DEN_GER0018,GER0018,T05_GERIATRIC_DOMAIN_CODES.csv,64,1218,64,5.254516,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0019,GER0019,T05_GERIATRIC_DOMAIN_CODES.csv,1061,1218,22,87.110016,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0020,GER0020,T05_GERIATRIC_DOMAIN_CODES.csv,135,1218,22,11.083744,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0021,GER0021,T05_GERIATRIC_DOMAIN_CODES.csv,22,1218,22,1.80624,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0022,GER0022,T05_GERIATRIC_DOMAIN_CODES.csv,1009,1218,157,82.840722,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0023,GER0023,T05_GERIATRIC_DOMAIN_CODES.csv,52,1218,157,4.269294,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0024,GER0024,T05_GERIATRIC_DOMAIN_CODES.csv,157,1218,157,12.889984,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0025,GER0025,T05_GERIATRIC_DOMAIN_CODES.csv,1200,1218,17,98.522167,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0026,GER0026,T05_GERIATRIC_DOMAIN_CODES.csv,1,1218,17,0.082102,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0027,GER0027,T05_GERIATRIC_DOMAIN_CODES.csv,17,1218,17,1.395731,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0028,GER0028,T06_GERIATRIC_COMPOSITES.csv,575,1218,319,47.208539,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0029,GER0029,T06_GERIATRIC_COMPOSITES.csv,324,1218,319,26.600985,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0030,GER0030,T06_GERIATRIC_COMPOSITES.csv,319,1218,319,26.190476,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0031,GER0031,T06_GERIATRIC_COMPOSITES.csv,575,1218,322,47.208539,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0032,GER0032,T06_GERIATRIC_COMPOSITES.csv,321,1218,322,26.35468,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0033,GER0033,T06_GERIATRIC_COMPOSITES.csv,322,1218,322,26.436782,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0034,GER0034,T06_GERIATRIC_COMPOSITES.csv,29,1218,140,2.380952,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0035,GER0035,T06_GERIATRIC_COMPOSITES.csv,1049,1218,140,86.124795,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_GER0036,GER0036,T06_GERIATRIC_COMPOSITES.csv,140,1218,140,11.494253,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0001,OUT0001,T07_COREVEN_COVERAGE.csv,86,304,19,28.289474,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0002,OUT0002,T07_COREVEN_COVERAGE.csv,31,304,20,10.197368,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0003,OUT0003,T07_COREVEN_COVERAGE.csv,5,304,21,1.644737,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0004,OUT0004,T07_COREVEN_COVERAGE.csv,1,304,22,0.328947,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0005,OUT0005,T07_COREVEN_COVERAGE.csv,45,304,18,14.802632,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0006,OUT0006,T09_OUTCOME_COVERAGE_SCORES.csv,0,304,22,0.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0007,OUT0007,T09_OUTCOME_COVERAGE_SCORES.csv,282,304,22,92.763158,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0008,OUT0008,T09_OUTCOME_COVERAGE_SCORES.csv,22,304,22,7.236842,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0009,OUT0009,T07_COREVEN_COVERAGE.csv,129,304,36,42.434211,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0010,OUT0010,T07_COREVEN_COVERAGE.csv,115,304,25,37.828947,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0011,OUT0011,T07_COREVEN_COVERAGE.csv,79,304,40,25.986842,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0012,OUT0012,T07_COREVEN_COVERAGE.csv,17,304,58,5.592105,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0013,OUT0013,T07_COREVEN_COVERAGE.csv,112,304,32,36.842105,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0014,OUT0014,T09_OUTCOME_COVERAGE_SCORES.csv,2,304,61,0.657895,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0015,OUT0015,T09_OUTCOME_COVERAGE_SCORES.csv,241,304,61,79.276316,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0016,OUT0016,T09_OUTCOME_COVERAGE_SCORES.csv,61,304,61,20.065789,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0017,OUT0017,T08_OUTPUTS_COVERAGE.csv,34,184,22,18.478261,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0018,OUT0018,T08_OUTPUTS_COVERAGE.csv,3,184,23,1.630435,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0019,OUT0019,T08_OUTPUTS_COVERAGE.csv,16,184,23,8.695652,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0020,OUT0020,T08_OUTPUTS_COVERAGE.csv,6,184,23,3.26087,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0021,OUT0021,T08_OUTPUTS_COVERAGE.csv,1,184,23,0.543478,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0022,OUT0022,T08_OUTPUTS_COVERAGE.csv,11,184,23,5.978261,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0023,OUT0023,T09_OUTCOME_COVERAGE_SCORES.csv,0,184,23,0.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0024,OUT0024,T09_OUTCOME_COVERAGE_SCORES.csv,161,184,23,87.5,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0025,OUT0025,T09_OUTCOME_COVERAGE_SCORES.csv,23,184,23,12.5,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0026,OUT0026,T08_OUTPUTS_COVERAGE.csv,40,184,29,21.73913,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0027,OUT0027,T08_OUTPUTS_COVERAGE.csv,4,184,33,2.173913,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0028,OUT0028,T08_OUTPUTS_COVERAGE.csv,29,184,28,15.76087,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0029,OUT0029,T08_OUTPUTS_COVERAGE.csv,23,184,28,12.5,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0030,OUT0030,T08_OUTPUTS_COVERAGE.csv,4,184,33,2.173913,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0031,OUT0031,T08_OUTPUTS_COVERAGE.csv,22,184,27,11.956522,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0032,OUT0032,T09_OUTCOME_COVERAGE_SCORES.csv,0,184,33,0.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0033,OUT0033,T09_OUTCOME_COVERAGE_SCORES.csv,151,184,33,82.065217,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_OUT0034,OUT0034,T09_OUTCOME_COVERAGE_SCORES.csv,33,184,33,17.934783,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00001,CHR00001,T11_TRIAL_CHARACTERISTICS.csv,1218,1218,0,100.0,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00002,CHR00002,T11_TRIAL_CHARACTERISTICS.csv,407,1218,2,33.415435,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
DEN_CHR00003,CHR00003,T11_TRIAL_CHARACTERISTICS.csv,2,1218,2,0.164204,PASS,0<=numerator<=denominator; 0<=unknown<=denominator; percentage reconciles
