NCT_ID,Measure_Title,Category,Participant_Count,Selected_Group_ID,Unit,JSON_Pointer
NCT02724449,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02724449,"Age, Categorical",Between 18 and 65 years,6.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02724449,"Age, Categorical",>=65 years,10.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02811965,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02811965,"Age, Categorical",Between 18 and 65 years,20.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02811965,"Age, Categorical",>=65 years,1.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02863263,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02863263,"Age, Categorical",Between 18 and 65 years,1.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02863263,"Age, Categorical",>=65 years,4.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02865343,"Age, Categorical",<=18 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02865343,"Age, Categorical",Between 18 and 65 years,11.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
NCT02865343,"Age, Categorical",>=65 years,0.0,BG002,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/2
NCT02904200,"Age, Categorical",<=18 years,0.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/0
NCT02904200,"Age, Categorical",Between 18 and 65 years,2.0,BG000,Participants,/resultsSection/baselineCharacteristicsModule/measures/0/classes/0/categories/1
