Sensitivity_ID,Module,Population,Scenario,Metric,Numerator,Denominator,Unknown_Count,Percent,Status,Notes
SENS_EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT,EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT,FINITE_UPPER_LIMIT,437,1171,38,37.318531,RUN,
SENS_EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT,EXCLUDE_WITHDRAWN_ZERO_ENROLLMENT,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,559,1171,304,47.736977,RUN,
SENS_COMPLETED_ONLY_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,COMPLETED_ONLY,COMPLETED_ONLY,ELIGIBLE_85_RECONCILED_YES,420,590,15,71.186441,RUN,
SENS_COMPLETED_ONLY_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,COMPLETED_ONLY,COMPLETED_ONLY,FINITE_UPPER_LIMIT,222,590,20,37.627119,RUN,
SENS_COMPLETED_ONLY_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,COMPLETED_ONLY,COMPLETED_ONLY,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,281,590,148,47.627119,RUN,
SENS_RANDOMIZED_COMPARATIVE_ONLY_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,RANDOMIZED_COMPARATIVE_ONLY,RANDOMIZED_COMPARATIVE_ONLY,ELIGIBLE_85_RECONCILED_YES,553,786,21,70.356234,RUN,
SENS_RANDOMIZED_COMPARATIVE_ONLY_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,RANDOMIZED_COMPARATIVE_ONLY,RANDOMIZED_COMPARATIVE_ONLY,FINITE_UPPER_LIMIT,297,786,27,37.78626,RUN,
SENS_RANDOMIZED_COMPARATIVE_ONLY_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,RANDOMIZED_COMPARATIVE_ONLY,RANDOMIZED_COMPARATIVE_ONLY,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,369,786,209,46.946565,RUN,
SENS_EXCLUDE_MIXED_WOUNDS_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,EXCLUDE_MIXED_WOUNDS,EXCLUDE_MIXED_WOUNDS,ELIGIBLE_85_RECONCILED_YES,697,1032,23,67.53876,RUN,
SENS_EXCLUDE_MIXED_WOUNDS_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,EXCLUDE_MIXED_WOUNDS,EXCLUDE_MIXED_WOUNDS,FINITE_UPPER_LIMIT,410,1032,34,39.728682,RUN,
SENS_EXCLUDE_MIXED_WOUNDS_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,EXCLUDE_MIXED_WOUNDS,EXCLUDE_MIXED_WOUNDS,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,509,1032,269,49.321705,RUN,
SENS_COS_APPLICABLE_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,COS_APPLICABLE,COS_APPLICABLE,ELIGIBLE_85_RECONCILED_YES,377,488,12,77.254098,RUN,
SENS_COS_APPLICABLE_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,COS_APPLICABLE,COS_APPLICABLE,FINITE_UPPER_LIMIT,142,488,17,29.098361,RUN,
SENS_COS_APPLICABLE_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,COS_APPLICABLE,COS_APPLICABLE,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,200,488,158,40.983607,RUN,
SENS_ALL_INTERVENTIONAL_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,ALL_INTERVENTIONAL,ALL_INTERVENTIONAL,ELIGIBLE_85_RECONCILED_YES,858,1218,27,70.44335,RUN,
SENS_ALL_INTERVENTIONAL_FINITE_UPPER_LIMIT,PRESPECIFIED_POPULATION,ALL_INTERVENTIONAL,ALL_INTERVENTIONAL,FINITE_UPPER_LIMIT,456,1218,38,37.438424,RUN,
SENS_ALL_INTERVENTIONAL_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,ALL_INTERVENTIONAL,ALL_INTERVENTIONAL,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,575,1218,319,47.208539,RUN,
SENS_LABEL_SOURCE_REVIEWER_A_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,LABEL_SOURCE_REVIEWER_A,LABEL_SOURCE_REVIEWER_A,ELIGIBLE_85_RECONCILED_YES,858,1218,27,70.44335,RUN,Label-source sensitivity; original paired labels remain unchanged.
SENS_LABEL_SOURCE_REVIEWER_B_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,LABEL_SOURCE_REVIEWER_B,LABEL_SOURCE_REVIEWER_B,ELIGIBLE_85_RECONCILED_YES,858,1218,27,70.44335,RUN,Label-source sensitivity; original paired labels remain unchanged.
SENS_LABEL_SOURCE_ADJUDICATED_ELIGIBLE_85_RECONCILED_YES,PRESPECIFIED_POPULATION,LABEL_SOURCE_ADJUDICATED,LABEL_SOURCE_ADJUDICATED,ELIGIBLE_85_RECONCILED_YES,858,1218,27,70.44335,RUN,Label-source sensitivity; original paired labels remain unchanged.
SENS_LABEL_SOURCE_REVIEWER_A_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,LABEL_SOURCE_REVIEWER_A,LABEL_SOURCE_REVIEWER_A,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,575,1218,0,47.208539,RUN,Label-source sensitivity; original paired labels remain unchanged.
SENS_LABEL_SOURCE_REVIEWER_B_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,LABEL_SOURCE_REVIEWER_B,LABEL_SOURCE_REVIEWER_B,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,575,1218,326,47.208539,RUN,Label-source sensitivity; original paired labels remain unchanged.
SENS_LABEL_SOURCE_ADJUDICATED_ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,PRESPECIFIED_POPULATION,LABEL_SOURCE_ADJUDICATED,LABEL_SOURCE_ADJUDICATED,ANY_PRIMARY_GERIATRIC_DOMAIN_PRESENT,575,1218,319,47.208539,RUN,Label-source sensitivity; original paired labels remain unchanged.
SENS_COREVEN_PRIMARY_ONLY_ALL_COS_DOMAINS_PRESENT,PRESPECIFIED_POPULATION,COREVEN_PRIMARY_ONLY,COREVEN_PRIMARY_ONLY,ALL_COS_DOMAINS_PRESENT,0,304,22,0.0,RUN,VLU CoreVen and PI-prevention OUTPUTs denominators remain separate.
SENS_COREVEN_ANY_PLANNED_ALL_COS_DOMAINS_PRESENT,PRESPECIFIED_POPULATION,COREVEN_ANY_PLANNED,COREVEN_ANY_PLANNED,ALL_COS_DOMAINS_PRESENT,2,304,61,0.657895,RUN,VLU CoreVen and PI-prevention OUTPUTs denominators remain separate.
SENS_OUTPUTS_PRIMARY_ONLY_ALL_COS_DOMAINS_PRESENT,PRESPECIFIED_POPULATION,OUTPUTS_PRIMARY_ONLY,OUTPUTS_PRIMARY_ONLY,ALL_COS_DOMAINS_PRESENT,0,184,23,0.0,RUN,VLU CoreVen and PI-prevention OUTPUTs denominators remain separate.
SENS_OUTPUTS_ANY_PLANNED_ALL_COS_DOMAINS_PRESENT,PRESPECIFIED_POPULATION,OUTPUTS_ANY_PLANNED,OUTPUTS_ANY_PLANNED,ALL_COS_DOMAINS_PRESENT,0,184,33,0.0,RUN,VLU CoreVen and PI-prevention OUTPUTs denominators remain separate.
SENS_EXCLUDE_CONFIRMED_DUPLICATE_CLUSTERS,DUPLICATE_CLUSTERS,ALL_INCLUDED,EXCLUDE_CONFIRMED_DUPLICATE_CLUSTERS,NOT_ESTIMABLE,,1218,1218,,NOT_RUN,No frozen confirmed-duplicate-cluster variable exists in the locked master.
SENS_CURRENT_VERSION,RECORD_HISTORY,ALL_INCLUDED,CURRENT_VERSION,AVAILABLE_CURRENT_RECORDS,1218,1218,0,100.0,NOT_EXECUTED_CONDITIONAL_MODULE,Fixed acquisition-window current official JSON is the primary input; this row does not execute the conditional Record History module.
SENS_HISTORICAL_VERSION,RECORD_HISTORY,ALL_INCLUDED,HISTORICAL_VERSION,NOT_ESTIMABLE,,1218,1218,,NOT_EXECUTED_CONDITIONAL_MODULE,No official version-level Record History dataset was frozen; the conditional module was not executed.
