Population,Dimension,Category,Count,Denominator,Unknown_Count,Percent,Small_Denominator_Flag
ADULT_RELEVANT_REGISTRY,Industry_Role,INDUSTRY_LEAD,374,1218,0,30.706076,NO
ADULT_RELEVANT_REGISTRY,Industry_Role,NO_RECORDED_INDUSTRY_ROLE,770,1218,0,63.218391,NO
ADULT_RELEVANT_REGISTRY,Device_Study,NO,623,1218,0,51.149425,NO
ADULT_RELEVANT_REGISTRY,Device_Study,YES,595,1218,0,48.850575,NO
ADULT_RELEVANT_REGISTRY,Country_Scope,MULTICOUNTRY,96,1218,102,7.881773,NO
ADULT_RELEVANT_REGISTRY,Country_Scope,SINGLE_COUNTRY,1020,1218,102,83.743842,NO
ADULT_RELEVANT_REGISTRY,Country_Scope,UNKNOWN,102,1218,102,8.374384,NO
ADULT_RELEVANT_REGISTRY,US_Center,NO,630,1218,102,51.724138,NO
ADULT_RELEVANT_REGISTRY,US_Center,UNKNOWN,102,1218,102,8.374384,NO
ADULT_RELEVANT_REGISTRY,US_Center,YES,486,1218,102,39.901478,NO
ADULT_RELEVANT_REGISTRY,Registration_Timing,PROSPECTIVE_OR_SAME_DAY,698,1218,1,57.307061,NO
ADULT_RELEVANT_REGISTRY,Registration_Timing,RETROSPECTIVE,519,1218,1,42.610837,NO
ADULT_RELEVANT_REGISTRY,Registration_Timing,UNKNOWN,1,1218,1,0.082102,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,ACTIVE_NOT_RECRUITING,29,1218,199,2.380952,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,COMPLETED,590,1218,199,48.440066,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,ENROLLING_BY_INVITATION,7,1218,199,0.574713,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,NOT_YET_RECRUITING,47,1218,199,3.858785,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,RECRUITING,165,1218,199,13.546798,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,SUSPENDED,5,1218,199,0.410509,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,TERMINATED,129,1218,199,10.591133,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,UNKNOWN,199,1218,199,16.338259,NO
ADULT_RELEVANT_REGISTRY,Overall_Status,WITHDRAWN,47,1218,199,3.858785,NO
ADULT_RELEVANT_REGISTRY,Period,2008-2016,440,1218,0,36.124795,NO
ADULT_RELEVANT_REGISTRY,Period,2017-2018,134,1218,0,11.001642,NO
ADULT_RELEVANT_REGISTRY,Period,2019-2025,644,1218,0,52.873563,NO
ADULT_RELEVANT_REGISTRY,Adult_Relevant_Registry,YES,1218,1218,0,100.0,NO
ADULT_RELEVANT_HUMAN_SCOPE,Study_Type,INTERVENTIONAL,117,117,0,100.0,NO
ADULT_RELEVANT_HUMAN_SCOPE,Randomized,NO,37,117,0,31.623932,NO
ADULT_RELEVANT_HUMAN_SCOPE,Randomized,YES,80,117,0,68.376068,NO
ADULT_RELEVANT_HUMAN_SCOPE,Industry_Role,INDUSTRY_COLLABORATOR,7,117,0,5.982906,NO
ADULT_RELEVANT_HUMAN_SCOPE,Industry_Role,INDUSTRY_LEAD,38,117,0,32.478632,NO
ADULT_RELEVANT_HUMAN_SCOPE,Industry_Role,NO_RECORDED_INDUSTRY_ROLE,72,117,0,61.538462,NO
ADULT_RELEVANT_HUMAN_SCOPE,Device_Study,NO,74,117,0,63.247863,NO
ADULT_RELEVANT_HUMAN_SCOPE,Device_Study,YES,43,117,0,36.752137,NO
ADULT_RELEVANT_HUMAN_SCOPE,Country_Scope,MULTICOUNTRY,12,117,8,10.25641,NO
ADULT_RELEVANT_HUMAN_SCOPE,Country_Scope,SINGLE_COUNTRY,97,117,8,82.905983,NO
ADULT_RELEVANT_HUMAN_SCOPE,Country_Scope,UNKNOWN,8,117,8,6.837607,NO
ADULT_RELEVANT_HUMAN_SCOPE,US_Center,NO,60,117,8,51.282051,NO
ADULT_RELEVANT_HUMAN_SCOPE,US_Center,UNKNOWN,8,117,8,6.837607,NO
ADULT_RELEVANT_HUMAN_SCOPE,US_Center,YES,49,117,8,41.880342,NO
ADULT_RELEVANT_HUMAN_SCOPE,Registration_Timing,PROSPECTIVE_OR_SAME_DAY,75,117,0,64.102564,NO
ADULT_RELEVANT_HUMAN_SCOPE,Registration_Timing,RETROSPECTIVE,42,117,0,35.897436,NO
ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ACTIVE_NOT_RECRUITING,1,117,17,0.854701,NO
ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,COMPLETED,51,117,17,43.589744,NO
ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,ENROLLING_BY_INVITATION,2,117,17,1.709402,NO
ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,NOT_YET_RECRUITING,10,117,17,8.547009,NO
ADULT_RELEVANT_HUMAN_SCOPE,Overall_Status,RECRUITING,18,117,17,15.384615,NO
