Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Coverage_Window,Registration_Timing,Domain
COREVEN_ANY_REGISTERED_ALL_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,18,304,246,58,5.921053,7.317073,5.921053,25.0,19.078947,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL,resource_use
COREVEN_ANY_REGISTERED_ALL_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,112,304,272,32,36.842105,41.176471,36.842105,47.368421,10.526316,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL,adverse_events
COREVEN_ANY_REGISTERED_ALL_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,ALL,2,304,242,62,0.657895,0.826446,0.657895,21.052632,20.394737,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,ALL,ALL_DOMAINS_PRESENT
COREVEN_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,93,165,147,18,56.363636,63.265306,56.363636,67.272727,10.909091,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,healing
COREVEN_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,64,165,150,15,38.787879,42.666667,38.787879,47.878788,9.090909,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,pain
COREVEN_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,52,165,140,25,31.515152,37.142857,31.515152,46.666667,15.151515,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,quality_of_life
COREVEN_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_resource_use,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,6,165,125,40,3.636364,4.8,3.636364,27.878788,24.242424,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,resource_use
COREVEN_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_adverse_events,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,68,165,147,18,41.212121,46.258503,41.212121,52.121212,10.909091,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,adverse_events
COREVEN_ANY_REGISTERED_PROSPECTIVE_OR_SAME_DAY_ALL_DOMAINS_PRESENT,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,PROSPECTIVE_OR_SAME_DAY,2,165,125,40,1.212121,1.6,1.212121,25.454545,24.242424,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,PROSPECTIVE_OR_SAME_DAY,ALL_DOMAINS_PRESENT
COREVEN_ANY_REGISTERED_RETROSPECTIVE_healing,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,39,139,122,17,28.057554,31.967213,28.057554,40.28777,12.230216,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,RETROSPECTIVE,healing
COREVEN_ANY_REGISTERED_RETROSPECTIVE_pain,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,51,139,129,10,36.690647,39.534884,36.690647,43.884892,7.194245,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,RETROSPECTIVE,pain
COREVEN_ANY_REGISTERED_RETROSPECTIVE_quality_of_life,REGISTERED_OUTCOME_COVERAGE_BY_REGISTRATION_TIMING,RETROSPECTIVE,27,139,124,15,19.42446,21.774194,19.42446,30.215827,10.791367,INDETERMINATE_AFTER_REVIEW,COREVEN,ANY_REGISTERED,RETROSPECTIVE,quality_of_life
