Metric_ID,Module,Population,Present_N,Full_Denominator,Evaluable_Denominator,Indeterminate_N,Confirmed_Full_Percent,Confirmed_Evaluable_Percent,Lower_Bound_Percent,Upper_Bound_Percent,Indeterminate_Percent,Publication_Display_State,Framework,Final_COS_Electronic_Publication_Date,Temporal_Scenario,Coverage_Window,Domain
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,1,49,37,12,2.040816,2.702703,2.040816,26.530612,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,adverse_events_safety
OUTPUTS_POST_FINAL_COS_12_MONTH_LAG_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,POST_FINAL_COS_12_MONTH_LAG,0,49,37,12,0.0,0.0,0.0,24.489796,24.489796,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,POST_FINAL_COS_12_MONTH_LAG,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,pressure_injury_occurrence
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_precursor_signs_symptoms,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,precursor_signs_symptoms
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_mobility,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,mobility
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_acceptability_comfort,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,acceptability_comfort
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_adherence_compliance,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,adherence_compliance
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_adverse_events_safety,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,adverse_events_safety
OUTPUTS_DATE_INDETERMINATE_PRIMARY_REGISTERED_ALL_DOMAINS_PRESENT,COS_TEMPORAL_ALIGNMENT,DATE_INDETERMINATE,0,0,0,0,,,,,,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,DATE_INDETERMINATE,PRIMARY_REGISTERED,ALL_DOMAINS_PRESENT
OUTPUTS_PRE_FINAL_COS_ANY_REGISTERED_pressure_injury_occurrence,COS_TEMPORAL_ALIGNMENT,PRE_FINAL_COS,24,120,106,14,20.0,22.641509,20.0,31.666667,11.666667,INDETERMINATE_AFTER_REVIEW,OUTPUTS,2022-08-09,PRE_FINAL_COS,ANY_REGISTERED,pressure_injury_occurrence
