Register_ID,Artifact_Type,Source_File,Source_Row_Number,Row_Key,Field,Value,Numerator_Context,Denominator_Context,Percent_Context,Source_SHA256,Interpretation_Boundary
NRR000021,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,7,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_80_STRUCTURED,Numerator,956,956,1218,78.489327,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000022,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,7,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_80_STRUCTURED,Denominator,1218,956,1218,78.489327,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000023,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,7,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_80_STRUCTURED,Unknown_Count,42,956,1218,78.489327,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000024,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,7,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_80|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_80_STRUCTURED,Percent,78.489327,956,1218,78.489327,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000025,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,8,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_85_STRUCTURED,Numerator,846,846,1218,69.458128,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000026,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,8,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_85_STRUCTURED,Denominator,1218,846,1218,69.458128,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000027,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,8,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_85_STRUCTURED,Unknown_Count,42,846,1218,69.458128,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,UNKNOWN_UNCLEAR_NOT_PUBLICLY_SPECIFIED_NOT_APPLICABLE_REMAIN_DISTINCT
NRR000028,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,8,Sensitivity_ID=AGE_UNKNOWN_NO_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_NO|Metric=ELIGIBLE_85_STRUCTURED,Percent,69.458128,846,1218,69.458128,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000029,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,9,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_85_STRUCTURED,Numerator,888,888,1218,72.906404,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
NRR000030,SENSITIVITY,outputs/step_13_corrected_1218_r3c/data/STEP13B_SENSITIVITY_RESULTS.csv,9,Sensitivity_ID=AGE_UNKNOWN_YES_STRUCTURED_85|Module=AGE|Population=ALL_INCLUDED|Scenario=UNKNOWN_ALL_YES|Metric=ELIGIBLE_85_STRUCTURED,Denominator,1218,888,1218,72.906404,278128a4ec403ed26a1048b2433ba4570d7fb881271ca7bfaf39df37a9ed5d82,FINITE_POPULATION_DESCRIPTIVE_NO_CAUSAL_OR_INFERENTIAL_CLAIM
